candidate_id,window,period,final_equity,pnl,return_pct,max_dd_pct,days
C_sp4.0_rv70_tr1.10_th1.00,6m,2025-10-10 to 2026-04-10,41160.8,31160.8,311.608,31.1,125
C_sp4.0_rv70_tr1.10_th1.00,1y,2025-04-10 to 2026-04-10,65020.41,55020.41,550.2041,33.94,251
C_sp4.0_rv70_tr1.10_th1.10,3m,2026-01-12 to 2026-04-10,27566.26,17566.26,175.6626,24.69,62
C_sp4.0_rv70_tr1.10_th1.10,6m,2025-10-10 to 2026-04-10,44302.25,34302.25,343.0225,30.67,125
C_sp4.0_rv70_tr1.10_th1.10,1y,2025-04-10 to 2026-04-10,74114.07,64114.07,641.1407,32.89,251
C_sp4.0_rv70_tr1.20_th0.90,3m,2026-01-12 to 2026-04-10,24721.81,14721.81,147.2181,24.3,62
C_sp4.0_rv70_tr1.20_th0.90,6m,2025-10-10 to 2026-04-10,36939.76,26939.76,269.3976,30.96,125
C_sp4.0_rv70_tr1.20_th0.90,1y,2025-04-10 to 2026-04-10,57160.29,47160.29,471.6029,35.09,251
C_sp4.0_rv70_tr1.20_th1.00,3m,2026-01-12 to 2026-04-10,25996.72,15996.72,159.9672,24.3,62
C_sp4.0_rv70_tr1.20_th1.00,6m,2025-10-10 to 2026-04-10,38889.35,28889.35,288.8935,30.96,125
C_sp4.0_rv70_tr1.20_th1.00,1y,2025-04-10 to 2026-04-10,59788.72,49788.72,497.8872,34.18,251
C_sp4.0_rv70_tr1.20_th1.10,3m,2026-01-12 to 2026-04-10,26732.66,16732.66,167.3266,24.69,62
C_sp4.0_rv70_tr1.20_th1.10,6m,2025-10-10 to 2026-04-10,41942.0,31942.0,319.42,30.96,125
C_sp4.0_rv70_tr1.20_th1.10,1y,2025-04-10 to 2026-04-10,68613.95,58613.95,586.1395,33.4,251
C_sp4.0_rv75_tr0.90_th0.90,3m,2026-01-12 to 2026-04-10,24406.33,14406.33,144.0633,23.83,62
C_sp4.0_rv75_tr0.90_th0.90,6m,2025-10-10 to 2026-04-10,35530.61,25530.61,255.3061,34.02,125
C_sp4.0_rv75_tr0.90_th0.90,1y,2025-04-10 to 2026-04-10,54694.24,44694.24,446.9424,37.32,251
C_sp4.0_rv75_tr0.90_th1.00,3m,2026-01-12 to 2026-04-10,26387.77,16387.77,163.8777,23.83,62
C_sp4.0_rv75_tr0.90_th1.00,6m,2025-10-10 to 2026-04-10,38004.89,28004.89,280.0489,33.59,125
C_sp4.0_rv75_tr0.90_th1.00,1y,2025-04-10 to 2026-04-10,57241.68,47241.68,472.4168,36.41,251
C_sp4.0_rv75_tr0.90_th1.10,3m,2026-01-12 to 2026-04-10,27756.73,17756.73,177.5673,24.69,62
C_sp4.0_rv75_tr0.90_th1.10,6m,2025-10-10 to 2026-04-10,42074.1,32074.1,320.741,30.11,125
C_sp4.0_rv75_tr0.90_th1.10,1y,2025-04-10 to 2026-04-10,66162.01,56162.01,561.6201,32.7,251
C_sp4.0_rv75_tr1.00_th0.90,3m,2026-01-12 to 2026-04-10,24030.86,14030.86,140.3086,23.99,62
C_sp4.0_rv75_tr1.00_th0.90,6m,2025-10-10 to 2026-04-10,33723.46,23723.46,237.2346,34.29,125
C_sp4.0_rv75_tr1.00_th0.90,1y,2025-04-10 to 2026-04-10,55382.45,45382.45,453.8245,38.21,251
C_sp4.0_rv75_tr1.00_th1.00,3m,2026-01-12 to 2026-04-10,26073.25,16073.25,160.7325,23.99,62
C_sp4.0_rv75_tr1.00_th1.00,6m,2025-10-10 to 2026-04-10,38096.43,28096.43,280.9643,30.82,125
C_sp4.0_rv75_tr1.00_th1.00,1y,2025-04-10 to 2026-04-10,61528.17,51528.17,515.2817,34.3,251
C_sp4.0_rv75_tr1.00_th1.10,3m,2026-01-12 to 2026-04-10,26931.06,16931.06,169.3106,24.69,62
C_sp4.0_rv75_tr1.00_th1.10,6m,2025-10-10 to 2026-04-10,41187.41,31187.41,311.8741,30.39,125
C_sp4.0_rv75_tr1.00_th1.10,1y,2025-04-10 to 2026-04-10,69634.39,59634.39,596.3439,33.38,251
C_sp4.0_rv75_tr1.10_th0.90,3m,2026-01-12 to 2026-04-10,25528.82,15528.82,155.2882,24.14,62
C_sp4.0_rv75_tr1.10_th0.90,6m,2025-10-10 to 2026-04-10,37264.42,27264.42,272.6442,34.56,125
C_sp4.0_rv75_tr1.10_th0.90,1y,2025-04-10 to 2026-04-10,59934.17,49934.17,499.3417,38.0,251
C_sp4.0_rv75_tr1.10_th1.00,3m,2026-01-12 to 2026-04-10,26917.34,16917.34,169.1734,24.14,62
C_sp4.0_rv75_tr1.10_th1.00,6m,2025-10-10 to 2026-04-10,41160.8,31160.8,311.608,31.1,125
C_sp4.0_rv75_tr1.10_th1.00,1y,2025-04-10 to 2026-04-10,65457.76,55457.76,554.5776,33.94,251
C_sp4.0_rv75_tr1.10_th1.10,3m,2026-01-12 to 2026-04-10,27566.26,17566.26,175.6626,24.69,62
C_sp4.0_rv75_tr1.10_th1.10,6m,2025-10-10 to 2026-04-10,44302.25,34302.25,343.0225,30.67,125
C_sp4.0_rv75_tr1.10_th1.10,1y,2025-04-10 to 2026-04-10,74612.61,64612.61,646.1261,32.89,251
C_sp4.0_rv75_tr1.20_th0.90,3m,2026-01-12 to 2026-04-10,24721.81,14721.81,147.2181,24.3,62
C_sp4.0_rv75_tr1.20_th0.90,6m,2025-10-10 to 2026-04-10,36939.76,26939.76,269.3976,30.96,125
C_sp4.0_rv75_tr1.20_th0.90,1y,2025-04-10 to 2026-04-10,57544.77,47544.77,475.4477,35.09,251
C_sp4.0_rv75_tr1.20_th1.00,3m,2026-01-12 to 2026-04-10,25996.72,15996.72,159.9672,24.3,62
C_sp4.0_rv75_tr1.20_th1.00,6m,2025-10-10 to 2026-04-10,38889.35,28889.35,288.8935,30.96,125
C_sp4.0_rv75_tr1.20_th1.00,1y,2025-04-10 to 2026-04-10,60190.88,50190.88,501.9088,34.18,251
C_sp4.0_rv75_tr1.20_th1.10,3m,2026-01-12 to 2026-04-10,26732.66,16732.66,167.3266,24.69,62
C_sp4.0_rv75_tr1.20_th1.10,6m,2025-10-10 to 2026-04-10,41942.0,31942.0,319.42,30.96,125
C_sp4.0_rv75_tr1.20_th1.10,1y,2025-04-10 to 2026-04-10,69075.49,59075.49,590.7549,33.4,251
C_sp4.0_rv80_tr0.90_th0.90,3m,2026-01-12 to 2026-04-10,24406.33,14406.33,144.0633,23.83,62
C_sp4.0_rv80_tr0.90_th0.90,6m,2025-10-10 to 2026-04-10,35530.61,25530.61,255.3061,34.02,125
C_sp4.0_rv80_tr0.90_th0.90,1y,2025-04-10 to 2026-04-10,54694.24,44694.24,446.9424,37.32,251
C_sp4.0_rv80_tr0.90_th1.00,3m,2026-01-12 to 2026-04-10,26387.77,16387.77,163.8777,23.83,62
C_sp4.0_rv80_tr0.90_th1.00,6m,2025-10-10 to 2026-04-10,38004.89,28004.89,280.0489,33.59,125
C_sp4.0_rv80_tr0.90_th1.00,1y,2025-04-10 to 2026-04-10,57241.68,47241.68,472.4168,36.41,251
C_sp4.0_rv80_tr0.90_th1.10,3m,2026-01-12 to 2026-04-10,27756.73,17756.73,177.5673,24.69,62
C_sp4.0_rv80_tr0.90_th1.10,6m,2025-10-10 to 2026-04-10,42074.1,32074.1,320.741,30.11,125
C_sp4.0_rv80_tr0.90_th1.10,1y,2025-04-10 to 2026-04-10,66162.01,56162.01,561.6201,32.7,251
C_sp4.0_rv80_tr1.00_th0.90,3m,2026-01-12 to 2026-04-10,24030.86,14030.86,140.3086,23.99,62
C_sp4.0_rv80_tr1.00_th0.90,6m,2025-10-10 to 2026-04-10,33723.46,23723.46,237.2346,34.29,125
C_sp4.0_rv80_tr1.00_th0.90,1y,2025-04-10 to 2026-04-10,55382.45,45382.45,453.8245,38.21,251
C_sp4.0_rv80_tr1.00_th1.00,3m,2026-01-12 to 2026-04-10,26073.25,16073.25,160.7325,23.99,62
C_sp4.0_rv80_tr1.00_th1.00,6m,2025-10-10 to 2026-04-10,38096.43,28096.43,280.9643,30.82,125
C_sp4.0_rv80_tr1.00_th1.00,1y,2025-04-10 to 2026-04-10,61528.17,51528.17,515.2817,34.3,251
C_sp4.0_rv80_tr1.00_th1.10,3m,2026-01-12 to 2026-04-10,26931.06,16931.06,169.3106,24.69,62
C_sp4.0_rv80_tr1.00_th1.10,6m,2025-10-10 to 2026-04-10,41187.41,31187.41,311.8741,30.39,125
C_sp4.0_rv80_tr1.00_th1.10,1y,2025-04-10 to 2026-04-10,69634.39,59634.39,596.3439,33.38,251
C_sp4.0_rv80_tr1.10_th0.90,3m,2026-01-12 to 2026-04-10,25528.82,15528.82,155.2882,24.14,62
C_sp4.0_rv80_tr1.10_th0.90,6m,2025-10-10 to 2026-04-10,37264.42,27264.42,272.6442,34.56,125
C_sp4.0_rv80_tr1.10_th0.90,1y,2025-04-10 to 2026-04-10,59934.17,49934.17,499.3417,38.0,251
C_sp4.0_rv80_tr1.10_th1.00,3m,2026-01-12 to 2026-04-10,26917.34,16917.34,169.1734,24.14,62
C_sp4.0_rv80_tr1.10_th1.00,6m,2025-10-10 to 2026-04-10,41160.8,31160.8,311.608,31.1,125
C_sp4.0_rv80_tr1.10_th1.00,1y,2025-04-10 to 2026-04-10,65457.76,55457.76,554.5776,33.94,251
C_sp4.0_rv80_tr1.10_th1.10,3m,2026-01-12 to 2026-04-10,27566.26,17566.26,175.6626,24.69,62
C_sp4.0_rv80_tr1.10_th1.10,6m,2025-10-10 to 2026-04-10,44302.25,34302.25,343.0225,30.67,125
C_sp4.0_rv80_tr1.10_th1.10,1y,2025-04-10 to 2026-04-10,74612.61,64612.61,646.1261,32.89,251
C_sp4.0_rv80_tr1.20_th0.90,3m,2026-01-12 to 2026-04-10,24721.81,14721.81,147.2181,24.3,62
C_sp4.0_rv80_tr1.20_th0.90,6m,2025-10-10 to 2026-04-10,36939.76,26939.76,269.3976,30.96,125
C_sp4.0_rv80_tr1.20_th0.90,1y,2025-04-10 to 2026-04-10,57544.77,47544.77,475.4477,35.09,251
C_sp4.0_rv80_tr1.20_th1.00,3m,2026-01-12 to 2026-04-10,25996.72,15996.72,159.9672,24.3,62
C_sp4.0_rv80_tr1.20_th1.00,6m,2025-10-10 to 2026-04-10,38889.35,28889.35,288.8935,30.96,125
C_sp4.0_rv80_tr1.20_th1.00,1y,2025-04-10 to 2026-04-10,60190.88,50190.88,501.9088,34.18,251
C_sp4.0_rv80_tr1.20_th1.10,3m,2026-01-12 to 2026-04-10,26732.66,16732.66,167.3266,24.69,62
C_sp4.0_rv80_tr1.20_th1.10,6m,2025-10-10 to 2026-04-10,41942.0,31942.0,319.42,30.96,125
C_sp4.0_rv80_tr1.20_th1.10,1y,2025-04-10 to 2026-04-10,69075.49,59075.49,590.7549,33.4,251
C_sp4.0_rv85_tr0.90_th0.90,3m,2026-01-12 to 2026-04-10,24406.33,14406.33,144.0633,23.83,62
C_sp4.0_rv85_tr0.90_th0.90,6m,2025-10-10 to 2026-04-10,35530.61,25530.61,255.3061,34.02,125
C_sp4.0_rv85_tr0.90_th0.90,1y,2025-04-10 to 2026-04-10,54694.24,44694.24,446.9424,37.32,251
C_sp4.0_rv85_tr0.90_th1.00,3m,2026-01-12 to 2026-04-10,26387.77,16387.77,163.8777,23.83,62
C_sp4.0_rv85_tr0.90_th1.00,6m,2025-10-10 to 2026-04-10,38004.89,28004.89,280.0489,33.59,125
C_sp4.0_rv85_tr0.90_th1.00,1y,2025-04-10 to 2026-04-10,57241.68,47241.68,472.4168,36.41,251
C_sp4.0_rv85_tr0.90_th1.10,3m,2026-01-12 to 2026-04-10,27756.73,17756.73,177.5673,24.69,62
C_sp4.0_rv85_tr0.90_th1.10,6m,2025-10-10 to 2026-04-10,42074.1,32074.1,320.741,30.11,125
C_sp4.0_rv85_tr0.90_th1.10,1y,2025-04-10 to 2026-04-10,66162.01,56162.01,561.6201,32.7,251
C_sp4.0_rv85_tr1.00_th0.90,3m,2026-01-12 to 2026-04-10,24030.86,14030.86,140.3086,23.99,62
C_sp4.0_rv85_tr1.00_th0.90,6m,2025-10-10 to 2026-04-10,33723.46,23723.46,237.2346,34.29,125
C_sp4.0_rv85_tr1.00_th0.90,1y,2025-04-10 to 2026-04-10,55382.45,45382.45,453.8245,38.21,251
C_sp4.0_rv85_tr1.00_th1.00,3m,2026-01-12 to 2026-04-10,26073.25,16073.25,160.7325,23.99,62
C_sp4.0_rv85_tr1.00_th1.00,6m,2025-10-10 to 2026-04-10,38096.43,28096.43,280.9643,30.82,125
C_sp4.0_rv85_tr1.00_th1.00,1y,2025-04-10 to 2026-04-10,61528.17,51528.17,515.2817,34.3,251
C_sp4.0_rv85_tr1.00_th1.10,3m,2026-01-12 to 2026-04-10,26931.06,16931.06,169.3106,24.69,62
C_sp4.0_rv85_tr1.00_th1.10,6m,2025-10-10 to 2026-04-10,41187.41,31187.41,311.8741,30.39,125
C_sp4.0_rv85_tr1.00_th1.10,1y,2025-04-10 to 2026-04-10,69634.39,59634.39,596.3439,33.38,251
C_sp4.0_rv85_tr1.10_th0.90,3m,2026-01-12 to 2026-04-10,25528.82,15528.82,155.2882,24.14,62
C_sp4.0_rv85_tr1.10_th0.90,6m,2025-10-10 to 2026-04-10,37264.42,27264.42,272.6442,34.56,125
C_sp4.0_rv85_tr1.10_th0.90,1y,2025-04-10 to 2026-04-10,59934.17,49934.17,499.3417,38.0,251
C_sp4.0_rv85_tr1.10_th1.00,3m,2026-01-12 to 2026-04-10,26917.34,16917.34,169.1734,24.14,62
C_sp4.0_rv85_tr1.10_th1.00,6m,2025-10-10 to 2026-04-10,41160.8,31160.8,311.608,31.1,125
C_sp4.0_rv85_tr1.10_th1.00,1y,2025-04-10 to 2026-04-10,65457.76,55457.76,554.5776,33.94,251
C_sp4.0_rv85_tr1.10_th1.10,3m,2026-01-12 to 2026-04-10,27566.26,17566.26,175.6626,24.69,62
C_sp4.0_rv85_tr1.10_th1.10,6m,2025-10-10 to 2026-04-10,44302.25,34302.25,343.0225,30.67,125
C_sp4.0_rv85_tr1.10_th1.10,1y,2025-04-10 to 2026-04-10,74612.61,64612.61,646.1261,32.89,251
C_sp4.0_rv85_tr1.20_th0.90,3m,2026-01-12 to 2026-04-10,24721.81,14721.81,147.2181,24.3,62
C_sp4.0_rv85_tr1.20_th0.90,6m,2025-10-10 to 2026-04-10,36939.76,26939.76,269.3976,30.96,125
C_sp4.0_rv85_tr1.20_th0.90,1y,2025-04-10 to 2026-04-10,57544.77,47544.77,475.4477,35.09,251
C_sp4.0_rv85_tr1.20_th1.00,3m,2026-01-12 to 2026-04-10,25996.72,15996.72,159.9672,24.3,62
C_sp4.0_rv85_tr1.20_th1.00,6m,2025-10-10 to 2026-04-10,38889.35,28889.35,288.8935,30.96,125
C_sp4.0_rv85_tr1.20_th1.00,1y,2025-04-10 to 2026-04-10,60190.88,50190.88,501.9088,34.18,251
C_sp4.0_rv85_tr1.20_th1.10,3m,2026-01-12 to 2026-04-10,26732.66,16732.66,167.3266,24.69,62
C_sp4.0_rv85_tr1.20_th1.10,6m,2025-10-10 to 2026-04-10,41942.0,31942.0,319.42,30.96,125
C_sp4.0_rv85_tr1.20_th1.10,1y,2025-04-10 to 2026-04-10,69075.49,59075.49,590.7549,33.4,251
C_sp4.0_rv90_tr0.90_th0.90,3m,2026-01-12 to 2026-04-10,24406.33,14406.33,144.0633,23.83,62
C_sp4.0_rv90_tr0.90_th0.90,6m,2025-10-10 to 2026-04-10,35530.61,25530.61,255.3061,34.02,125
C_sp4.0_rv90_tr0.90_th0.90,1y,2025-04-10 to 2026-04-10,54694.24,44694.24,446.9424,37.32,251
C_sp4.0_rv90_tr0.90_th1.00,3m,2026-01-12 to 2026-04-10,26387.77,16387.77,163.8777,23.83,62
C_sp4.0_rv90_tr0.90_th1.00,6m,2025-10-10 to 2026-04-10,38004.89,28004.89,280.0489,33.59,125
C_sp4.0_rv90_tr0.90_th1.00,1y,2025-04-10 to 2026-04-10,57241.68,47241.68,472.4168,36.41,251
C_sp4.0_rv90_tr0.90_th1.10,3m,2026-01-12 to 2026-04-10,27756.73,17756.73,177.5673,24.69,62
C_sp4.0_rv90_tr0.90_th1.10,6m,2025-10-10 to 2026-04-10,42074.1,32074.1,320.741,30.11,125
C_sp4.0_rv90_tr0.90_th1.10,1y,2025-04-10 to 2026-04-10,66162.01,56162.01,561.6201,32.7,251
C_sp4.0_rv90_tr1.00_th0.90,3m,2026-01-12 to 2026-04-10,24030.86,14030.86,140.3086,23.99,62
C_sp4.0_rv90_tr1.00_th0.90,6m,2025-10-10 to 2026-04-10,33723.46,23723.46,237.2346,34.29,125
C_sp4.0_rv90_tr1.00_th0.90,1y,2025-04-10 to 2026-04-10,55382.45,45382.45,453.8245,38.21,251
C_sp4.0_rv90_tr1.00_th1.00,3m,2026-01-12 to 2026-04-10,26073.25,16073.25,160.7325,23.99,62
C_sp4.0_rv90_tr1.00_th1.00,6m,2025-10-10 to 2026-04-10,38096.43,28096.43,280.9643,30.82,125
C_sp4.0_rv90_tr1.00_th1.00,1y,2025-04-10 to 2026-04-10,61528.17,51528.17,515.2817,34.3,251
C_sp4.0_rv90_tr1.00_th1.10,3m,2026-01-12 to 2026-04-10,26931.06,16931.06,169.3106,24.69,62
C_sp4.0_rv90_tr1.00_th1.10,6m,2025-10-10 to 2026-04-10,41187.41,31187.41,311.8741,30.39,125
C_sp4.0_rv90_tr1.00_th1.10,1y,2025-04-10 to 2026-04-10,69634.39,59634.39,596.3439,33.38,251
C_sp4.0_rv90_tr1.10_th0.90,3m,2026-01-12 to 2026-04-10,25528.82,15528.82,155.2882,24.14,62
C_sp4.0_rv90_tr1.10_th0.90,6m,2025-10-10 to 2026-04-10,37264.42,27264.42,272.6442,34.56,125
C_sp4.0_rv90_tr1.10_th0.90,1y,2025-04-10 to 2026-04-10,59934.17,49934.17,499.3417,38.0,251
C_sp4.0_rv90_tr1.10_th1.00,3m,2026-01-12 to 2026-04-10,26917.34,16917.34,169.1734,24.14,62
C_sp4.0_rv90_tr1.10_th1.00,6m,2025-10-10 to 2026-04-10,41160.8,31160.8,311.608,31.1,125
C_sp4.0_rv90_tr1.10_th1.00,1y,2025-04-10 to 2026-04-10,65457.76,55457.76,554.5776,33.94,251
C_sp4.0_rv90_tr1.10_th1.10,3m,2026-01-12 to 2026-04-10,27566.26,17566.26,175.6626,24.69,62
C_sp4.0_rv90_tr1.10_th1.10,6m,2025-10-10 to 2026-04-10,44302.25,34302.25,343.0225,30.67,125
C_sp4.0_rv90_tr1.10_th1.10,1y,2025-04-10 to 2026-04-10,74612.61,64612.61,646.1261,32.89,251
C_sp4.0_rv90_tr1.20_th0.90,3m,2026-01-12 to 2026-04-10,24721.81,14721.81,147.2181,24.3,62
C_sp4.0_rv90_tr1.20_th0.90,6m,2025-10-10 to 2026-04-10,36939.76,26939.76,269.3976,30.96,125
C_sp4.0_rv90_tr1.20_th0.90,1y,2025-04-10 to 2026-04-10,57544.77,47544.77,475.4477,35.09,251
C_sp4.0_rv90_tr1.20_th1.00,3m,2026-01-12 to 2026-04-10,25996.72,15996.72,159.9672,24.3,62
C_sp4.0_rv90_tr1.20_th1.00,6m,2025-10-10 to 2026-04-10,38889.35,28889.35,288.8935,30.96,125
C_sp4.0_rv90_tr1.20_th1.00,1y,2025-04-10 to 2026-04-10,60190.88,50190.88,501.9088,34.18,251
C_sp4.0_rv90_tr1.20_th1.10,3m,2026-01-12 to 2026-04-10,26732.66,16732.66,167.3266,24.69,62
C_sp4.0_rv90_tr1.20_th1.10,6m,2025-10-10 to 2026-04-10,41942.0,31942.0,319.42,30.96,125
C_sp4.0_rv90_tr1.20_th1.10,1y,2025-04-10 to 2026-04-10,69075.49,59075.49,590.7549,33.4,251
C_sp4.5_rv70_tr0.90_th0.90,3m,2026-01-12 to 2026-04-10,24144.76,14144.76,141.4476,23.83,62
C_sp4.5_rv70_tr0.90_th0.90,6m,2025-10-10 to 2026-04-10,34754.06,24754.06,247.5406,34.02,125
C_sp4.5_rv70_tr0.90_th0.90,1y,2025-04-10 to 2026-04-10,52169.35,42169.35,421.6935,38.03,251
C_sp4.5_rv70_tr0.90_th1.00,3m,2026-01-12 to 2026-04-10,26104.97,16104.97,161.0497,23.83,62
C_sp4.5_rv70_tr0.90_th1.00,6m,2025-10-10 to 2026-04-10,37174.26,27174.26,271.7426,33.59,125
C_sp4.5_rv70_tr0.90_th1.00,1y,2025-04-10 to 2026-04-10,54599.19,44599.19,445.9919,37.13,251
C_sp4.5_rv70_tr0.90_th1.10,3m,2026-01-12 to 2026-04-10,27459.26,17459.26,174.5926,24.69,62
C_sp4.5_rv70_tr0.90_th1.10,6m,2025-10-10 to 2026-04-10,41154.53,31154.53,311.5453,30.11,125
C_sp4.5_rv70_tr0.90_th1.10,1y,2025-04-10 to 2026-04-10,63107.7,53107.7,531.077,33.46,251
C_sp4.5_rv70_tr1.00_th0.90,3m,2026-01-12 to 2026-04-10,23773.32,13773.32,137.7332,23.99,62
C_sp4.5_rv70_tr1.00_th0.90,6m,2025-10-10 to 2026-04-10,32986.41,22986.41,229.8641,34.29,125
C_sp4.5_rv70_tr1.00_th0.90,1y,2025-04-10 to 2026-04-10,52825.78,42825.78,428.2578,38.91,251
C_sp4.5_rv70_tr1.00_th1.00,3m,2026-01-12 to 2026-04-10,25793.82,15793.82,157.9382,23.99,62
C_sp4.5_rv70_tr1.00_th1.00,6m,2025-10-10 to 2026-04-10,37263.8,27263.8,272.638,30.82,125
C_sp4.5_rv70_tr1.00_th1.00,1y,2025-04-10 to 2026-04-10,58687.79,48687.79,486.8779,35.04,251
C_sp4.5_rv70_tr1.00_th1.10,3m,2026-01-12 to 2026-04-10,26642.43,16642.43,166.4243,24.69,62
C_sp4.5_rv70_tr1.00_th1.10,6m,2025-10-10 to 2026-04-10,40287.22,30287.22,302.8722,30.39,125
C_sp4.5_rv70_tr1.00_th1.10,1y,2025-04-10 to 2026-04-10,66419.78,56419.78,564.1978,34.13,251
C_sp4.5_rv70_tr1.10_th0.90,3m,2026-01-12 to 2026-04-10,25255.23,15255.23,152.5523,24.14,62
C_sp4.5_rv70_tr1.10_th0.90,6m,2025-10-10 to 2026-04-10,36449.98,26449.98,264.4998,34.56,125
C_sp4.5_rv70_tr1.10_th0.90,1y,2025-04-10 to 2026-04-10,57167.38,47167.38,471.6738,38.7,251
C_sp4.5_rv70_tr1.10_th1.00,3m,2026-01-12 to 2026-04-10,26628.87,16628.87,166.2887,24.14,62
C_sp4.5_rv70_tr1.10_th1.00,6m,2025-10-10 to 2026-04-10,40261.2,30261.2,302.612,31.1,125
C_sp4.5_rv70_tr1.10_th1.00,1y,2025-04-10 to 2026-04-10,62435.98,52435.98,524.3598,34.69,251
C_sp4.5_rv70_tr1.10_th1.10,3m,2026-01-12 to 2026-04-10,27270.83,17270.83,172.7083,24.69,62
C_sp4.5_rv70_tr1.10_th1.10,6m,2025-10-10 to 2026-04-10,43333.98,33333.98,333.3398,30.67,125
C_sp4.5_rv70_tr1.10_th1.10,1y,2025-04-10 to 2026-04-10,71168.18,61168.18,611.6818,33.64,251
C_sp4.5_rv70_tr1.20_th0.90,3m,2026-01-12 to 2026-04-10,24456.87,14456.87,144.5687,24.3,62
C_sp4.5_rv70_tr1.20_th0.90,6m,2025-10-10 to 2026-04-10,36132.41,26132.41,261.3241,30.96,125
C_sp4.5_rv70_tr1.20_th0.90,1y,2025-04-10 to 2026-04-10,54888.28,44888.28,448.8828,35.82,251
C_sp4.5_rv70_tr1.20_th1.00,3m,2026-01-12 to 2026-04-10,25718.11,15718.11,157.1811,24.3,62
C_sp4.5_rv70_tr1.20_th1.00,6m,2025-10-10 to 2026-04-10,38039.39,28039.39,280.3939,30.96,125
C_sp4.5_rv70_tr1.20_th1.00,1y,2025-04-10 to 2026-04-10,57412.24,47412.24,474.1224,34.92,251
C_sp4.5_rv70_tr1.20_th1.10,3m,2026-01-12 to 2026-04-10,26446.17,16446.17,164.4617,24.69,62
C_sp4.5_rv70_tr1.20_th1.10,6m,2025-10-10 to 2026-04-10,41025.32,31025.32,310.2532,30.96,125
C_sp4.5_rv70_tr1.20_th1.10,1y,2025-04-10 to 2026-04-10,65886.68,55886.68,558.8668,34.15,251
C_sp4.5_rv75_tr0.90_th0.90,3m,2026-01-12 to 2026-04-10,24144.76,14144.76,141.4476,23.83,62
C_sp4.5_rv75_tr0.90_th0.90,6m,2025-10-10 to 2026-04-10,34754.06,24754.06,247.5406,34.02,125
C_sp4.5_rv75_tr0.90_th0.90,1y,2025-04-10 to 2026-04-10,52681.14,42681.14,426.8114,38.03,251
C_sp4.5_rv75_tr0.90_th1.00,3m,2026-01-12 to 2026-04-10,26104.97,16104.97,161.0497,23.83,62
C_sp4.5_rv75_tr0.90_th1.00,6m,2025-10-10 to 2026-04-10,37174.26,27174.26,271.7426,33.59,125
