Variant,Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
G1-412837,2026-04-10,135866.1,SOXL,no change,no change,no change,no change,SOXL,144385.47,8519.38,6.27,0.0,,
C_sp4.7_rv75_tr1.10_th1.20,2026-03-10,43096.95,SOXL,no change,no change,no change,no change,SOXL,44065.06,968.11,2.25,0.0,,
C_sp4.7_rv75_tr1.10_th1.20,2026-03-11,44065.06,SOXL,no change,no change,15:55,SOXS,SOXS,45642.32,1577.26,3.58,0.0,,37.8201
C_sp4.7_rv75_tr1.10_th1.20,2026-03-12,45642.32,SOXS,10:02,SOXS,15:55,SOXL,SOXL,49185.17,3542.85,7.76,0.0,40.685,50.09
C_sp4.7_rv75_tr1.10_th1.20,2026-03-13,49185.17,SOXL,no change,no change,no change,no change,SOXL,49528.84,343.68,0.7,0.0,,
C_sp4.7_rv75_tr1.10_th1.20,2026-03-16,49528.84,SOXL,15:13,SOXL,15:55,SOXL,SOXL,53460.66,3931.82,7.94,0.0,54.41,53.71
C_sp4.7_rv75_tr1.10_th1.20,2026-03-17,53460.66,SOXL,no change,no change,no change,no change,SOXL,54535.65,1074.99,2.01,0.0,,
C_sp4.7_rv75_tr1.10_th1.20,2026-03-18,54535.65,SOXL,no change,no change,no change,no change,SOXL,54207.18,-328.47,-0.6,0.6,,
C_sp4.7_rv75_tr1.10_th1.20,2026-03-19,54207.18,SOXL,no change,no change,no change,no change,SOXL,54734.72,527.54,0.97,0.0,,
C_sp4.7_rv75_tr1.10_th1.20,2026-03-20,54734.72,SOXL,no change,no change,no change,no change,SOXL,50509.43,-4225.29,-7.72,7.72,,
C_sp4.7_rv75_tr1.10_th1.20,2026-03-23,50509.43,SOXL,10:50,SOXL,15:55,SOXS,SOXS,55291.19,4781.77,9.47,0.0,55.76,38.94
C_sp4.7_rv75_tr1.10_th1.20,2026-03-24,55291.19,SOXS,11:24,SOXS,no change,no change,CASH,52671.87,-2619.33,-4.74,4.74,36.815,
C_sp4.7_rv75_tr1.10_th1.20,2026-03-25,52671.87,CASH,no change,no change,15:55,SOXS,SOXS,52666.6,-5.27,-0.01,4.75,,36.015
C_sp4.7_rv75_tr1.10_th1.20,2026-03-26,52666.6,SOXS,11:46,SOXS,15:55,SOXL,SOXL,57124.27,4457.67,8.46,0.0,38.99,48.99
C_sp4.7_rv75_tr1.10_th1.20,2026-03-27,57124.27,SOXL,no change,no change,no change,no change,SOXL,54325.77,-2798.49,-4.9,4.9,,
C_sp4.7_rv75_tr1.10_th1.20,2026-03-30,54325.77,SOXL,no change,no change,no change,no change,SOXL,47568.58,-6757.2,-12.44,16.73,,
C_sp4.7_rv75_tr1.10_th1.20,2026-03-31,47568.58,SOXL,10:09,SOXL,15:55,SOXL,SOXL,51022.09,3453.51,7.26,10.68,43.81,47.945
C_sp4.7_rv75_tr1.10_th1.20,2026-04-01,51022.09,SOXL,14:02,SOXL,15:55,SOXL,SOXL,56278.66,5256.57,10.3,1.48,52.8081,52.205
C_sp4.7_rv75_tr1.10_th1.20,2026-04-02,56278.66,SOXL,no change,no change,no change,no change,SOXL,56882.36,603.7,1.07,0.42,,
C_sp4.7_rv75_tr1.10_th1.20,2026-04-06,56882.36,SOXL,no change,no change,no change,no change,SOXL,58973.74,2091.38,3.68,0.0,,
C_sp4.7_rv75_tr1.10_th1.20,2026-04-07,58973.74,SOXL,19:33,SOXL,15:55,SOXL,SOXL,68063.52,9089.78,15.41,0.0,63.06,56.375
C_sp4.7_rv75_tr1.10_th1.20,2026-04-08,68063.52,SOXL,07:15,SOXL,15:55,SOXL,SOXL,78848.12,10784.59,15.84,0.0,65.3,67.35
C_sp4.7_rv75_tr1.10_th1.20,2026-04-09,78848.12,SOXL,no change,no change,no change,no change,SOXL,84204.17,5356.05,6.79,0.0,,
C_sp4.7_rv75_tr1.10_th1.20,2026-04-10,84204.17,SOXL,no change,no change,no change,no change,SOXL,89484.12,5279.96,6.27,0.0,,
