file,exec_requested,order_type,dsp,pldsp,anch,exec_effective,cpu_final,cpu_return_pct,cpu_maxdd_pct,cpu_events,diff_final,diff_ret_pp,exact
combo_1y_exec_market_close_ot_close_position_dsp_off_pldsp_on_anch_off_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,close_position,off,on,off,market_close,32845.2242288356,228.45224228835602,24.21549797519643,265,-43036.12826927029,-430.36128269270284,False
combo_1y_exec_market_close_ot_close_position_dsp_off_pldsp_on_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,close_position,off,on,on,market_close,32845.2242288356,228.45224228835602,24.21549797519643,265,-43036.12826927029,-430.36128269270284,False
combo_1y_exec_market_close_ot_close_position_dsp_on_pldsp_off_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,close_position,on,off,on,market_close,32845.2242288356,228.45224228835602,24.21549797519643,265,-43036.12826927029,-430.36128269270284,False
combo_1y_exec_market_close_ot_close_position_dsp_on_pldsp_on_anch_off_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,close_position,on,on,off,market_close,32845.2242288356,228.45224228835602,24.21549797519643,265,-43036.12826927029,-430.36128269270284,False
combo_1y_exec_market_close_ot_close_position_dsp_on_pldsp_on_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,close_position,on,on,on,market_close,32845.2242288356,228.45224228835602,24.21549797519643,265,-43036.12826927029,-430.36128269270284,False
combo_1y_exec_market_close_ot_market_order_dsp_off_pldsp_on_anch_off_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,market_order,off,on,off,market_close,32845.2242288356,228.45224228835602,24.21549797519643,265,-43036.12826927029,-430.36128269270284,False
combo_1y_exec_market_close_ot_market_order_dsp_off_pldsp_on_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,market_order,off,on,on,market_close,32845.2242288356,228.45224228835602,24.21549797519643,265,-43036.12826927029,-430.36128269270284,False
combo_1y_exec_market_close_ot_market_order_dsp_on_pldsp_off_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,market_order,on,off,on,market_close,32845.2242288356,228.45224228835602,24.21549797519643,265,-43036.12826927029,-430.36128269270284,False
combo_1y_exec_market_close_ot_market_order_dsp_on_pldsp_on_anch_off_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,market_order,on,on,off,market_close,32845.2242288356,228.45224228835602,24.21549797519643,265,-43036.12826927029,-430.36128269270284,False
combo_1y_exec_market_close_ot_market_order_dsp_on_pldsp_on_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,market_order,on,on,on,market_close,32845.2242288356,228.45224228835602,24.21549797519643,265,-43036.12826927029,-430.36128269270284,False
